player_name,age,nationality,club,position,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physicality
Phil Foden,23,England,Manchester City,CAM,88,93,45162274,115604,80,74,72,67,76,62
Bukayo Saka,21,England,Arsenal,RW,86,93,21357168,30936,77,85,77,79,49,63
Jamal Musiala,20,Germany,Bayern Munich,CAM,86,94,21688457,46339,70,74,91,71,79,63
Rodri,27,Spain,Manchester City,CDM,89,90,46616215,105458,76,61,74,71,71,62
Marc-Andre ter Stegen,31,Germany,Barcelona,GK,89,89,6901737,7237,45,31,52,51,30,53
Ruben Dias,26,Portugal,Manchester City,CB,88,90,68613816,185670,56,43,63,60,85,59
Joao Cancelo,29,Portugal,Barcelona,RB,87,88,56320595,134722,58,30,61,61,83,50
Achraf Hakimi,24,Morocco,Paris SG,RB,86,90,24162447,58109,57,41,65,45,84,64
Antonio Rudiger,30,Germany,Real Madrid,CB,85,85,32018998,73641,53,32,69,59,86,90
Marquinhos,29,Brazil,Paris SG,CB,87,87,17674593,18945,72,45,62,61,75,58
Declan Rice,24,England,Arsenal,CDM,85,90,2717780,5556,96,53,87,65,68,68
Martin Odegaard,24,Norway,Arsenal,CAM,87,90,15924284,36225,72,73,76,79,72,54
Granit Xhaka,30,Switzerland,Bayer Leverkusen,CM,84,84,507510,1484,61,69,76,84,65,59
Bruno Fernandes,29,Portugal,Manchester Utd,CAM,87,87,16310773,39621,82,74,72,75,68,54
Marcus Rashford,25,England,Manchester Utd,LW,84,88,8696749,21878,72,91,91,93,30,56
Harry Kane,29,England,Bayern Munich,ST,90,90,4027652,7522,86,90,67,84,30,51
Heung-min Son,31,South Korea,Tottenham,LW,87,87,14317937,38844,96,72,71,86,46,48
Diogo Jota,26,Portugal,Liverpool,ST,84,87,55682225,119769,75,87,76,80,35,56
Darwin Nunez,24,Uruguay,Liverpool,ST,82,88,62688360,176198,95,74,92,69,33,64
Cody Gakpo,24,Netherlands,Liverpool,LW,82,88,2426237,5807,85,79,73,81,30,66
Gabriel Martinelli,22,Brazil,Arsenal,LW,83,90,27121595,70886,90,86,81,90,30,55
Eduardo Camavinga,21,France,Real Madrid,CM,82,92,37716896,70077,77,68,92,73,76,58
Aurelien Tchouameni,23,France,Real Madrid,CDM,84,91,9743771,9954,84,74,92,78,77,57
Eder Militao,25,Brazil,Real Madrid,CB,85,89,6940455,11502,67,38,65,59,75,76
Federico Valverde,24,Uruguay,Real Madrid,CM,86,91,1199582,2517,87,74,86,83,71,52
Bernardo Silva,29,Portugal,Manchester City,CM,87,87,19711245,23697,85,66,75,75,75,55
Jack Grealish,28,England,Manchester City,LW,83,85,32723001,94716,84,79,71,86,30,48
Riyad Mahrez,32,Algeria,Al Ahli,RW,85,85,2357604,4680,77,82,77,96,41,58
Ilkay Gundogan,32,Germany,Barcelona,CM,85,85,65494404,114598,77,65,84,71,76,72
Manuel Neuer,37,Germany,Bayern Munich,GK,87,87,71310833,145915,50,30,56,30,30,53
Leroy Sane,27,Germany,Bayern Munich,LW,86,87,941173,1470,94,91,92,78,41,61
Serge Gnabry,28,Germany,Bayern Munich,RW,84,85,17318699,20011,99,77,68,80,30,55
Thomas Muller,33,Germany,Bayern Munich,CAM,85,85,48366021,127931,80,83,89,73,64,63
Leon Goretzka,28,Germany,Bayern Munich,CM,85,87,70074171,188095,67,82,91,74,58,70
Sadio Mane,31,Senegal,Al Nassr,LW,85,85,29305661,84679,82,93,62,80,35,60
Richarlison,26,Brazil,Tottenham,ST,81,85,4947741,11594,79,88,66,83,35,64
Son Heung-min,31,South Korea,Tottenham,LW,87,87,15031754,40651,70,94,77,79,47,60
Dejan Kulusevski,23,Sweden,Tottenham,RW,82,88,23493778,33500,99,98,73,92,40,70
Ivan Perisic,34,Croatia,Hajduk Split,LM,82,82,13921188,35739,86,53,72,61,69,65
Raphael Varane,30,France,Manchester Utd,CB,85,85,13569825,22492,78,30,51,54,85,59
Luke Shaw,28,England,Manchester Utd,LB,83,85,44350788,86391,54,45,67,47,77,51
Aaron Wan-Bissaka,26,England,Manchester Utd,RB,80,83,4349970,7519,57,44,60,48,81,51
Rasmus Hojlund,21,Denmark,Manchester Utd,ST,80,89,30888191,77112,98,84,69,86,34,58
Mason Mount,24,England,Manchester Utd,CAM,82,87,11979546,29888,73,63,79,59,59,70
Kobbie Mainoo,19,England,Manchester Utd,CM,77,89,13780405,20463,82,70,99,86,70,52
William Saliba,22,France,Arsenal,CB,85,91,31134180,62171,58,30,59,46,95,67
Gabriel Magalhaes,25,Brazil,Arsenal,CB,84,88,6596711,11387,65,33,77,59,73,58
Ben White,26,England,Arsenal,RB,83,87,4032662,6332,72,55,53,59,76,56
Oleksandr Zinchenko,27,Ukraine,Arsenal,LB,82,84,67318327,183847,65,33,67,54,80,52
Thomas Partey,30,Ghana,Arsenal,CDM,84,84,16755085,26137,73,74,86,70,72,66
Leandro Trossard,29,Belgium,Arsenal,LW,82,83,2353559,5227,77,88,68,70,30,60
Eddie Nketiah,24,England,Arsenal,ST,78,84,7531746,9556,88,70,74,75,30,60
Kai Havertz,24,Germany,Arsenal,CAM,82,86,12306881,22443,86,63,88,68,76,71
Dominik Szoboszlai,23,Hungary,Liverpool,CM,83,89,16686459,44780,82,66,84,73,72,58
Alexis Mac Allister,25,Argentina,Liverpool,CM,84,87,21626810,44251,80,64,78,74,75,56
Wataru Endo,30,Japan,Liverpool,CDM,80,81,11692443,18740,84,65,91,74,55,51
Trent Alexander-Arnold,25,England,Liverpool,RB,87,89,48504968,109062,65,53,67,53,88,42
Andrew Robertson,29,Scotland,Liverpool,LB,87,87,45921738,118349,53,49,67,51,87,78
Joel Matip,32,Cameroon,free agent,CB,83,83,28071844,77296,61,33,71,48,82,56
Ibrahima Konate,24,France,Liverpool,CB,84,89,5146591,12580,73,35,62,47,78,63
Fermin Lopez,21,Spain,Barcelona,CM,78,88,3677952,10360,84,78,85,93,65,50
Lamine Yamal,16,Spain,Barcelona,RW,78,96,12938721,28761,68,95,80,84,37,50
Joao Felix,24,Portugal,Barcelona,CAM,83,87,16769947,37119,78,73,85,79,65,63
Ansu Fati,21,Spain,Barcelona,LW,80,88,16841671,30281,95,79,67,83,35,68
Alejandro Balde,20,Spain,Barcelona,LB,81,91,8103375,13726,63,36,56,41,88,60
Ronald Araujo,24,Uruguay,Barcelona,CB,85,89,13797760,25358,62,53,62,42,80,57
Jules Kounde,25,France,Barcelona,CB,84,88,1763277,5278,63,45,79,64,79,51
Xavi Simons,21,Netherlands,RB Leipzig,CM,82,92,4429713,6119,98,68,82,77,73,58
Warren Zaire-Emery,18,France,Paris SG,CM,78,92,13639128,25662,77,63,76,78,69,72
Bradley Barcola,21,France,Paris SG,LW,78,88,18955344,34450,92,67,72,82,30,53
Ousmane Dembele,26,France,Paris SG,RW,85,87,21153981,31231,90,94,80,75,30,63
Randal Kolo Muani,25,France,Paris SG,ST,83,87,21538534,30368,81,81,80,88,32,69
Manuel Ugarte,22,Uruguay,Paris SG,CDM,80,88,32013099,53898,82,65,84,67,79,58
Theo Hernandez,26,France,AC Milan,LB,86,87,16250304,30424,59,30,52,59,71,74
Mike Maignan,28,France,AC Milan,GK,86,87,45520093,118339,46,30,50,33,30,68
Rafael Leao,24,Portugal,AC Milan,LW,86,90,3036800,8107,80,83,77,71,30,65
Tijjani Reijnders,25,Netherlands,AC Milan,CM,82,88,6179545,13028,78,70,77,71,73,52
Christian Pulisic,25,USA,AC Milan,RW,82,84,3720330,10524,91,87,77,92,48,68
Lautaro Martinez,26,Argentina,Inter Milan,ST,87,89,1769237,3903,68,73,70,85,39,54
Nicolo Barella,26,Italy,Inter Milan,CM,86,88,16909492,33009,73,56,74,67,64,68
Hakan Calhanoglu,29,Turkey,Inter Milan,CDM,85,85,13718119,30093,81,69,75,83,67,60
Federico Dimarco,26,Italy,Inter Milan,LB,83,86,5524797,14575,74,34,64,69,76,74
Alessandro Bastoni,24,Italy,Inter Milan,CB,85,89,49853996,63495,70,47,69,42,76,58
Player 0000,28,France,AC Milan,RW,73,80,7054349,32257,78,75,59,54,30,66
Player 0001,20,England,free agent,LB,76,85,5344187,10586,71,50,60,68,82,60
Player 0002,24,Brazil,Paris SG,LM,74,76,5187304,12459,69,73,63,52,30,73
Player 0003,27,Portugal,Al Nassr,LM,80,89,2916661,139196,77,70,59,63,30,69
Player 0004,25,Algeria,Manchester Utd,CAM,67,73,1075267,3512,61,64,51,61,30,66
Player 0005,22,France,Real Madrid,CM,86,95,4492630,121077,73,79,59,68,34,62
Player 0006,23,Brazil,Tottenham,CF,78,87,1142860,6190,66,81,71,63,30,68
Player 0007,28,Japan,Arsenal,RM,69,76,9144720,59010,54,64,58,53,30,63
Player 0008,26,Belgium,Liverpool,RB,75,76,1326937,38557,65,44,65,59,47,58
Player 0009,27,Brazil,Liverpool,RB,83,90,4072338,9319,73,47,67,71,78,70
Player 0010,29,Sweden,Liverpool,CAM,78,87,962430,64020,71,76,55,73,37,67
Player 0011,23,Italy,AC Milan,CB,67,67,1863072,500,70,46,69,66,65,61
Player 0012,28,Egypt,Paris SG,CAM,80,83,856351,44218,70,86,55,83,33,78
Player 0013,25,Belgium,Arsenal,CDM,68,68,5885795,34493,58,68,50,66,30,72
Player 0014,31,Norway,Paris SG,ST,82,84,13870388,16327,62,85,67,66,30,59
Player 0015,25,Scotland,Barcelona,LM,74,75,15009299,6156,74,75,64,71,30,75
Player 0016,28,Italy,Barcelona,LB,75,83,2482304,6713,66,44,47,72,69,72
Player 0017,25,Italy,Liverpool,LW,71,72,1440192,35621,74,75,59,63,30,61
Player 0018,25,Cameroon,Liverpool,ST,92,95,53137,11856,64,72,57,67,30,59
Player 0019,21,Belgium,AC Milan,LW,75,84,185539,33294,73,79,71,80,30,63
Player 0020,28,Brazil,Liverpool,CF,75,78,9935516,23795,70,82,63,85,30,66
Player 0021,23,Spain,Bayern Munich,CM,65,71,674266,632,61,81,56,92,30,58
Player 0022,20,USA,Barcelona,LB,70,70,8346552,38967,68,57,50,56,76,73
Player 0023,24,Belgium,Manchester Utd,LW,87,90,8059395,31927,61,59,69,66,30,59
Player 0024,19,England,Liverpool,LM,87,96,3678059,15983,71,66,58,61,37,79
Player 0025,27,Japan,Paris SG,CF,68,68,1194343,32077,80,66,47,65,30,67
Player 0026,30,USA,Inter Miami,RB,71,74,1215595,13353,83,32,64,50,80,72
Player 0027,25,Morocco,Liverpool,LM,82,87,283532,22725,70,63,58,71,30,65
Player 0028,27,Italy,Tottenham,LB,75,83,3197806,20132,65,48,52,73,77,59
Player 0029,25,Germany,Al Nassr,LW,82,87,18550461,14066,73,73,56,70,30,66
Player 0030,29,Norway,Arsenal,GK,78,86,34144375,1482,44,30,62,38,37,68
Player 0031,29,Argentina,Arsenal,CDM,72,75,9810792,63085,78,68,48,60,30,74
Player 0032,32,Denmark,Paris SG,RW,84,88,4484329,23669,69,71,50,70,35,70
Player 0033,26,Turkey,Paris SG,LW,92,97,140578,12522,60,58,68,87,36,69
Player 0034,29,Scotland,Manchester City,LB,78,82,339292,92806,62,57,59,56,71,61
Player 0035,35,Scotland,Bayern Munich,RB,77,79,5727701,15320,63,45,62,71,70,57
Player 0036,28,Morocco,Arsenal,CAM,69,76,369604,50743,75,53,61,86,35,68
Player 0037,27,France,Manchester City,RM,65,73,1667290,8109,66,79,57,77,30,67
Player 0038,34,Argentina,AC Milan,CM,67,68,2523731,22994,67,64,54,62,30,71
Player 0039,26,Argentina,Real Madrid,LW,69,77,4821547,15541,85,67,64,81,30,63
Player 0040,21,Egypt,Liverpool,CB,69,74,2971108,2100,67,50,68,68,78,81
Player 0041,21,Netherlands,Real Madrid,LW,64,69,4081821,24478,69,85,60,62,30,70
Player 0042,26,Scotland,Real Madrid,LB,66,74,1657973,32800,67,33,60,74,75,74
Player 0043,26,Scotland,Liverpool,ST,68,74,6093556,37006,65,61,45,72,30,47
Player 0044,35,Belgium,Barcelona,CDM,77,79,3786757,14880,51,72,77,73,30,81
Player 0045,27,England,Arsenal,CAM,68,74,1557548,694,68,67,60,72,30,70
Player 0046,25,Hungary,Inter Milan,CDM,58,58,1735222,4747,67,70,60,72,30,68
Player 0047,18,Turkey,Arsenal,RM,74,75,1059483,28995,64,75,54,67,30,61
Player 0048,23,Scotland,Manchester Utd,LB,71,73,268615,21365,59,52,63,86,66,63
Player 0049,29,Sweden,Paris SG,LB,72,74,2782907,5839,75,44,55,64,85,61
Player 0050,29,Algeria,Manchester Utd,LB,87,94,2000096,53927,62,49,48,61,74,82
Player 0051,24,Senegal,Inter Milan,LW,68,71,1885703,15049,83,70,54,76,30,79
Player 0052,24,Ghana,Paris SG,LM,79,88,4711688,32307,74,78,54,69,30,65
Player 0053,32,Switzerland,Arsenal,RB,74,78,385687,37797,65,55,52,57,80,74
Player 0054,24,Ukraine,AC Milan,CM,70,74,293125,16564,72,65,61,69,30,57
Player 0055,25,England,Real Madrid,CM,81,90,3064150,3629,78,71,78,71,30,57
Player 0056,22,Croatia,Paris SG,CB,72,81,11162156,33808,69,44,65,65,77,51
Player 0057,28,Brazil,Bayern Munich,RB,64,71,4019140,5859,74,45,59,67,81,69
Player 0058,20,Switzerland,Arsenal,LM,74,81,3401406,26773,56,72,74,72,30,72
Player 0059,27,Scotland,Arsenal,GK,69,78,1149717,38889,55,30,62,30,30,76
Player 0060,21,England,Barcelona,CAM,69,77,7647591,54970,78,78,69,74,30,74
Player 0061,26,Cameroon,Manchester City,CAM,65,68,936342,4448,68,68,48,54,30,73
Player 0062,27,Egypt,Manchester City,LB,69,78,4580208,49040,78,40,53,67,73,61
Player 0063,29,England,AC Milan,RW,79,82,1848524,17075,71,71,72,73,30,79
Player 0064,28,Spain,Inter Milan,LM,83,88,4141864,26585,68,63,61,53,30,63
Player 0065,19,Denmark,Manchester Utd,CM,70,72,847903,48682,62,49,59,82,38,61
Player 0066,27,South Korea,Paris SG,CAM,69,77,12735097,2143,71,70,52,61,30,67
Player 0067,22,Switzerland,Arsenal,CB,81,90,322096,20057,52,52,65,65,75,69
Player 0068,23,Ghana,Barcelona,CM,61,69,561964,38746,67,63,62,66,30,63
Player 0069,33,Brazil,Paris SG,RM,77,84,5811541,2102,75,86,59,61,30,64
Player 0070,34,Croatia,Liverpool,RM,70,72,264750,21554,70,82,54,61,30,57
Player 0071,32,Ghana,free agent,RB,74,81,9214240,61340,69,32,67,67,73,90
Player 0072,22,Argentina,Arsenal,CF,76,84,14920879,6835,57,73,62,78,34,69
Player 0073,25,Morocco,Arsenal,LW,80,87,7417881,11427,69,68,52,71,41,56
Player 0074,31,Ghana,Paris SG,RM,74,74,4383227,5444,70,79,69,88,30,67
Player 0075,24,Turkey,Barcelona,CAM,75,83,6288431,132849,74,77,51,61,30,65
Player 0076,26,Germany,Barcelona,GK,61,68,1955343,70730,38,30,50,51,37,69
Player 0077,27,Morocco,Manchester Utd,ST,77,79,509260,11346,75,63,58,63,30,68
Player 0078,25,England,Inter Milan,CM,69,77,8318677,43581,77,80,63,66,30,80
Player 0079,22,France,Manchester Utd,CAM,72,77,2027359,112908,70,64,58,71,30,71
Player 0080,27,Morocco,Real Madrid,LM,75,83,14522316,38912,79,67,65,64,30,59
Player 0081,26,Japan,Liverpool,ST,66,74,3541454,10582,80,65,63,75,32,66
Player 0082,23,Ghana,Manchester City,CF,79,81,305573,53402,64,73,67,72,30,73
Player 0083,28,Belgium,Barcelona,LM,52,57,6822648,17576,84,82,73,73,30,52
Player 0084,22,Portugal,RB Leipzig,CDM,72,74,3887660,40829,90,72,59,66,30,47
Player 0085,17,Morocco,Tottenham,RW,72,79,3785150,23101,74,74,57,53,30,62
Player 0086,25,South Korea,Tottenham,CB,69,77,1359140,51146,80,45,56,68,72,65
Player 0087,25,Argentina,Liverpool,RB,80,80,10067125,33345,78,35,68,60,81,69
Player 0088,21,Senegal,Inter Milan,CAM,80,80,607053,16287,70,72,58,62,30,68
Player 0089,31,Poland,Liverpool,LW,65,74,7911203,38617,72,66,46,62,46,61
Player 0090,28,Norway,Manchester City,RB,58,64,4023346,16859,62,52,68,62,86,62
Player 0091,27,Spain,Al Ahli,LB,76,84,55373,13863,71,42,71,92,78,56
Player 0092,27,Senegal,Paris SG,LM,72,81,50000,14626,75,82,69,68,37,81
Player 0093,27,Sweden,Manchester City,GK,74,77,136878,14730,42,32,64,32,30,62
Player 0094,27,Switzerland,Hajduk Split,RM,83,83,15856289,14803,59,62,50,69,38,82
Player 0095,28,Brazil,Arsenal,RW,79,81,5736697,5850,88,72,65,63,30,66
Player 0096,24,Italy,Inter Milan,RW,76,79,9490567,29297,87,81,56,57,30,60
Player 0097,26,Spain,Bayern Munich,LW,61,65,2735147,61199,74,68,62,65,30,62
Player 0098,25,England,Inter Milan,CDM,77,80,3347571,24814,88,62,58,73,30,67
Player 0099,19,Argentina,Al Ahli,LB,56,59,18291183,1839,63,38,51,61,80,58
Player 0100,27,Portugal,Arsenal,LM,91,95,1749250,7098,67,78,64,73,30,60
Player 0101,30,Argentina,Arsenal,CAM,79,79,512412,15279,64,79,63,53,33,80
Player 0102,27,Scotland,Inter Milan,GK,68,69,206124,2270,32,30,53,30,31,63
Player 0103,17,Ukraine,Bayern Munich,ST,71,71,143040,7247,83,68,64,61,30,73
Player 0104,31,England,Bayern Munich,LW,75,78,5521755,51869,73,82,50,68,30,72
Player 0105,25,Brazil,Liverpool,RB,59,60,1099594,15447,77,52,67,69,67,84
Player 0106,25,Argentina,Liverpool,ST,77,85,8377944,11277,74,73,66,66,30,64
Player 0107,23,Germany,Manchester Utd,RM,76,85,4477779,36507,79,81,60,69,30,62
Player 0108,30,France,Al Ahli,ST,78,87,2231388,60257,64,71,70,73,30,54
Player 0109,23,Spain,Bayern Munich,CB,86,94,10732650,7290,79,57,54,64,85,71
Player 0110,20,Germany,Inter Milan,LM,82,86,430279,1318,80,76,61,79,30,59
Player 0111,25,Italy,Inter Milan,CDM,76,77,13290673,957,65,81,57,71,30,67
Player 0112,24,Norway,Manchester Utd,CAM,73,73,6365855,22100,70,73,67,62,30,67
Player 0113,20,Poland,Arsenal,CAM,81,87,10903046,45863,70,83,47,61,30,51
Player 0114,32,Uruguay,Liverpool,CAM,72,81,1157635,22697,82,82,71,70,30,58
Player 0115,27,Argentina,Real Madrid,GK,80,88,18815561,22476,53,30,58,38,30,78
Player 0116,24,Algeria,Barcelona,ST,75,84,4397411,17808,59,73,76,68,30,62
Player 0117,31,Italy,AC Milan,RM,72,81,3485519,59844,79,71,53,71,30,66
Player 0118,21,Argentina,Al Ahli,CAM,86,94,2640763,91741,59,72,66,67,30,60
Player 0119,29,Scotland,Arsenal,ST,78,79,15658937,14966,75,76,51,62,36,63
Player 0120,30,England,Inter Milan,GK,76,80,2115417,24088,41,30,71,35,30,58
Player 0121,25,Poland,Bayern Munich,CAM,81,90,2416785,75596,66,82,71,63,30,73
Player 0122,29,Sweden,Barcelona,CM,68,71,4275799,8248,72,64,56,73,30,69
Player 0123,19,Uruguay,Barcelona,LM,89,91,812873,16868,83,67,48,69,30,56
Player 0124,26,Egypt,Real Madrid,CF,70,78,8713258,18485,66,81,60,78,30,64
Player 0125,25,Turkey,Inter Milan,CB,76,80,5741133,6715,79,43,68,60,66,79
Player 0126,31,Sweden,Bayern Munich,CB,78,82,919579,13905,83,31,55,69,89,68
Player 0127,23,Spain,AC Milan,ST,77,85,196342,9249,59,78,67,74,30,57
Player 0128,26,Portugal,Real Madrid,RB,55,63,4053520,18581,73,48,65,71,81,60
Player 0129,21,Hungary,Barcelona,CAM,69,74,4902571,38954,77,72,40,67,30,60
Player 0130,31,Argentina,Liverpool,CF,68,70,4865528,105454,59,69,67,72,30,65
Player 0131,23,Switzerland,Manchester Utd,RB,74,79,5455109,91390,75,42,64,76,63,73
Player 0132,31,England,Tottenham,LB,74,81,11918131,57049,72,45,54,64,65,61
Player 0133,25,Norway,Liverpool,CB,79,83,4322453,8515,66,43,69,58,76,64
Player 0134,29,Argentina,Bayern Munich,LB,79,85,4270885,139260,75,43,63,67,75,57
Player 0135,27,Morocco,Arsenal,GK,74,75,995560,22000,46,30,73,35,31,81
Player 0136,27,Sweden,Real Madrid,LB,67,73,10236237,2123,86,39,52,67,91,71
Player 0137,31,Germany,AC Milan,CB,66,75,3655730,11258,77,32,58,70,88,70
Player 0138,32,Egypt,Real Madrid,RM,67,67,1150137,17948,71,75,56,71,30,63
Player 0139,26,Poland,Barcelona,RM,76,79,50000,26708,84,82,66,60,30,69
Player 0140,22,Spain,Manchester Utd,RB,68,69,2211951,7275,84,58,48,58,72,72
Player 0141,25,Cameroon,Inter Milan,RW,59,66,4713816,40172,65,72,65,66,33,83
Player 0142,20,Poland,Barcelona,CM,67,72,6102051,18173,61,77,55,81,40,58
Player 0143,29,Switzerland,Manchester City,CB,69,78,3621143,15708,68,44,54,60,80,63
Player 0144,21,Norway,Manchester City,GK,74,74,5978692,38249,43,30,59,41,30,67
Player 0145,26,Spain,Al Nassr,CB,71,78,12753603,11868,72,30,58,61,76,88
Player 0146,24,Italy,Liverpool,LB,76,85,8750394,41392,88,35,63,60,79,57
Player 0147,24,Ghana,Arsenal,LB,70,70,3125500,46738,74,30,52,53,79,67
Player 0148,22,Brazil,Arsenal,CAM,76,78,1064550,11175,67,66,53,58,30,77
Player 0149,26,Argentina,Arsenal,ST,73,73,5119199,36334,72,61,68,66,30,82
Player 0150,22,Uruguay,Bayern Munich,RB,76,82,1032658,14920,70,46,38,70,74,58
Player 0151,29,Scotland,Barcelona,LM,90,97,6957641,35847,70,85,57,70,30,59
Player 0152,38,Belgium,Paris SG,LW,82,84,64914,15815,64,66,59,63,30,59
Player 0153,30,Senegal,Arsenal,RM,75,75,3177562,135895,71,67,61,65,37,71
Player 0154,20,Spain,Paris SG,CF,62,71,1738877,53401,68,80,53,69,30,79
Player 0155,37,Italy,Inter Milan,GK,83,89,5430037,29064,39,30,61,34,30,66
Player 0156,31,France,Barcelona,CAM,78,87,6514939,10997,85,66,70,53,30,55
Player 0157,29,Portugal,Bayern Munich,GK,81,81,2299257,51750,53,30,67,30,30,64
Player 0158,30,Switzerland,Barcelona,GK,62,66,3299192,9221,53,30,65,41,30,76
Player 0159,25,Ghana,AC Milan,CDM,70,75,1148478,24448,72,69,65,65,30,70
Player 0160,27,Sweden,Real Madrid,CDM,76,76,10434402,81348,76,80,59,66,30,70
Player 0161,25,Spain,Paris SG,RW,75,79,1654843,31869,76,82,63,76,41,73
Player 0162,30,Denmark,Barcelona,CAM,75,83,2576130,36868,61,67,65,69,30,69
Player 0163,26,USA,Bayern Munich,CM,62,64,3823649,48952,77,84,59,62,34,74
Player 0164,25,Algeria,Barcelona,LM,78,82,5386765,35834,61,78,63,59,30,67
Player 0165,33,England,Bayern Munich,RM,70,70,79596,45301,84,78,63,71,30,69
Player 0166,24,Portugal,Bayern Munich,CM,53,54,255071,40477,73,65,56,69,30,64
Player 0167,28,Sweden,Bayern Munich,RM,62,68,5871054,64776,69,69,65,59,38,76
Player 0168,22,USA,Barcelona,LB,71,75,4621555,66739,75,30,56,78,74,54
Player 0169,22,France,Liverpool,RW,73,76,521844,500,68,68,49,72,30,54
Player 0170,32,Cameroon,Liverpool,CDM,80,84,1702896,11205,70,80,59,69,30,72
Player 0171,23,USA,Liverpool,LW,64,72,4108215,6666,84,74,39,83,30,80
Player 0172,31,Senegal,Manchester Utd,RW,82,90,1919011,18153,68,74,62,57,30,86
Player 0173,28,Japan,Liverpool,RB,64,70,4079907,4567,61,47,52,62,78,61
Player 0174,25,France,Manchester Utd,LB,77,84,698972,14078,67,54,60,61,78,68
Player 0175,22,Morocco,Inter Milan,CM,78,86,4078937,41790,82,85,58,63,30,57
Player 0176,26,France,Paris SG,GK,62,69,149104,10336,39,30,59,42,37,63
Player 0177,21,Ukraine,Inter Milan,ST,73,74,11748787,14138,70,86,69,74,30,61
Player 0178,21,Italy,Bayern Munich,GK,79,82,239551,1066,30,33,57,37,30,61
Player 0179,27,France,Barcelona,RB,69,77,773411,14329,68,55,55,70,69,71
Player 0180,33,Turkey,Barcelona,RB,79,85,318117,580,72,55,54,73,73,64
Player 0181,27,Norway,Bayern Munich,LB,74,76,4612099,6407,78,33,61,88,80,63
Player 0182,17,England,Manchester Utd,ST,69,78,18735994,11213,67,70,46,64,32,61
Player 0183,25,USA,Arsenal,RB,79,87,757817,103332,72,30,58,54,84,71
Player 0184,32,Algeria,Arsenal,RB,77,79,6408627,1716,64,58,67,66,84,56
Player 0185,23,Ghana,Paris SG,GK,67,69,7838070,51862,44,30,62,30,31,75
Player 0186,31,Netherlands,Arsenal,ST,59,64,3022467,3356,72,80,54,81,30,65
Player 0187,24,France,Tottenham,GK,72,76,409535,26389,47,30,65,42,32,67
Player 0188,24,Norway,AC Milan,RM,77,84,1361814,104921,56,65,56,83,30,54
Player 0189,19,Ghana,free agent,GK,77,82,7784579,19465,34,30,55,43,30,42
Player 0190,28,Belgium,Bayern Munich,RM,70,77,5908805,45629,65,66,58,61,30,66
Player 0191,22,Egypt,Bayern Munich,LW,65,66,10065458,55903,66,65,72,68,30,63
Player 0192,28,South Korea,Manchester Utd,GK,64,66,2170608,68856,44,30,61,48,30,67
Player 0193,22,Scotland,Paris SG,CF,68,75,9511344,5098,72,59,55,70,30,56
Player 0194,23,Ukraine,Liverpool,RW,55,63,1223207,1320,68,82,67,66,30,62
Player 0195,26,Spain,Arsenal,GK,51,58,1106538,25532,43,30,72,30,35,55
Player 0196,24,Poland,Manchester Utd,RW,84,93,1048120,18466,57,67,58,75,31,64
Player 0197,27,Cameroon,Liverpool,CB,70,77,5304341,35174,80,40,55,66,80,60
Player 0198,27,USA,Real Madrid,LW,73,73,11234058,7212,70,71,63,73,30,58
